,Rank,Cafe,Menu,Prices,Addresses,Texts,URL
17,18,Eggy’s,Turkey Club,11,"333 E. Benton Pl.,","$11.50. 333 E. Benton Pl., 773-234-3449, eggysdiner.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Eggys-Turkey-Club/
18,19,Old Jerusalem,Falafel,6,"1411 N. Wells St.,","$6.25. 1411 N. Wells St., 312-944-0459, oldjerusalemchicago.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Old-Jerusalem-Falafel/
19,20,Mindy’s HotChocolate,Crab Cake,15,"1747 N. Damen Ave.,","$15. 1747 N. Damen Ave., 773-489-1747, hotchocolatechicago.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Mindys-HotChocolate-Crab-Cake/
20,21,Olga’s Delicatessen,Chicken Schnitzel,5,3209 W. Irving Park,"$5. 3209 W. Irving Park Rd., 773-539-8038",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Olgas-Delicatessen-Chicken-Schnitzel/
21,22,Dawali Mediterranean Kitchen,Shawarma,6,Multiple,"$6. Multiple locations, dawalikitchen.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Dawali-Mediterranean-Kitchen-Shawarma/
22,23,Big Jones,Toasted Pimiento Cheese,8,"5347 N. Clark St.,","$8. 5347 N. Clark St., 773-275-5725, bigjoneschicago.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Big-Jones-Toasted-Pimiento-Cheese/
23,24,La Pane,Vegetarian Panino,5,"2954 W. Irving Park Rd.,","$5.99. 2954 W. Irving Park Rd., 773-539-5321, lapanechicago.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-La-Pane-Vegetarian-Panino/
24,25,Pastoral,Cali Chèvre,7,Multiple,"$7.52. Multiple locations, pastoralartisan.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Pastoral-Cali-Chevre/
25,26,Max’s Deli,Pastrami,11,"191 Skokie Valley Rd., Highland Park,","$11.95. 191 Skokie Valley Rd., Highland Park, 847-831-0600, maxs-deli.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Maxs-Deli-Pastrami/
26,27,Lucky’s Sandwich Co.,The Fredo,7,Multiple,"$7.50. Multiple locations, luckysandwich.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Luckys-Sandwich-Co-The-Fredo/
27,28,City Provisions,Smoked Ham,12,"1818 W. Wilson Ave.,","$12.95. 1818 W. Wilson Ave., 773-293-2489, cityprovisions.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-City-Provisions-Smoked-Ham/
28,29,Papa’s Cache Sabroso,Jibarito,7,"2517 W. Division St.,","$7. 2517 W. Division St., 773-862-8313, papascachesabroso.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Papas-Cache-Sabroso-Jibarito/
29,30,Bavette’s Bar & Boeuf,Shaved Prime Rib,21,218 W. Kinzie,"$21. 218 W. Kinzie St., 312-624-8154",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Bavettes-Bar-and-Boeuf-Shaved-Prime-Rib/
30,31,Hannah’s Bretzel,Serrano Ham and Manchego Cheese,9,Multiple,"$9.79. Multiple locations, hannahsbretzel.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Hannahs-Bretzel-Serrano-Ham-and-Manchego-Cheese/
31,32,La Fournette,Tuna Salad,9,"1547 N. Wells St.,","$9.75. 1547 N. Wells St., 312-624-9430, lafournette.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-La-Fournette-Tuna-Salad/
32,33,Paramount Room,Paramount Reuben,13,"415 N. Milwaukee Ave.,","$13. 415 N. Milwaukee Ave., 312-829-6300, paramountroom.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Paramount-Room-Paramount-Reuben/
33,34,Melt Sandwich Shoppe,The Istanbul,7,"1840 N. Damen Ave.,","$7.95. 1840 N. Damen Ave., 773-681-9914, meltsandwichshoppechicago.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Melt-Sandwich-Shoppe-The-Istanbul/
34,35,Floriole Cafe & Bakery,B.A.D.,9,"1220 W. Webster Ave.,","$9. 1220 W. Webster Ave., 773-883-1313, floriole.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Floriole-Cafe-and-Bakery-BAD/
35,36,First Slice Pie Café,Duck Confit and Mozzarella,9,"5357 N. Ashland Ave.,","$9. 5357 N. Ashland Ave., 773-275-4297, firstslice.org",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-First-Slice-Pie-Cafe-Duck-Confit-and-Mozzarella/
36,37,Troquet,Croque Monsieur,8,"1834 W. Montrose Ave.,","$8. 1834 W. Montrose Ave., 773-334-5664, troquetchicago.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Troquet-Croque-Monsieur/
37,38,Grahamwich,Green Garbanzo,8,"615 N. State St.,","$8. 615 N. State St., 312-265-0434, grahamwich.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Grahamwich-Green-Garbanzo/
38,39,Saigon Sisters,The Hen House,7,Multiple,"$7. Multiple locations, saigonsisters.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Saigon-Sisters-The-Hen-House/
39,40,Rosalia’s Deli,Tuscan Chicken,6,"241 N. York Rd., Elmhurst,","$6. 241 N. York Rd., Elmhurst, 630-516-3354, rosaliasdeli.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Rosalias-Deli-Tuscan-Chicken/
40,41,Z&H MarketCafe,The Marty ,7,"1323 E. 57th St.,","$7.25. 1323 E. 57th St., 773-538-7372, zhmarketcafe.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Z-and-H-MarketCafe-The-Marty/
41,42,Market House on the Square,Whitefish,11,"655 Forest Ave., Lake Forest,","$11. 655 Forest Ave., Lake Forest, 847-234-8800, themarkethouse.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Market-House-on-the-Square-Whitefish/
42,43,Elaine’s Coffee Call,"Oat Bread, Pecan Butter, and Fruit Jam",6,"Hotel Lincoln, 1816 N. Clark St.,","$6. Hotel Lincoln, 1816 N. Clark St., 312-254-4665, jdvhotels.com/hotels/chicago/lincoln",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Elaines-Coffee-Call-Oat-Bread-Pecan-Butter-and-Fruit-Jam/
43,44,Marion Street Cheese Market,Cauliflower Melt,9,"100 S. Marion St., Oak Park,","$9. 100 S. Marion St., Oak Park, 708-725-7200, marionstreetcheesemarket.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Marion-Street-Cheese-Market-Cauliflower-Melt/
44,45,Cafecito,Cubana,5,"26 E. Congress Pkwy.,","$5.49. 26 E. Congress Pkwy., 312-922-2233, cafecitochicago.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Cafecito-Cubano/
45,46,Chickpea,Kufta,8,"2018 W. Chicago Ave.,","$8. 2018 W. Chicago Ave., 773-384-9930, chickpeaonthego.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Chickpea-Kufta/
46,47,The Goddess and Grocer,Debbie’s Egg Salad,6,"25 E. Delaware Pl.,","$6.50. 25 E. Delaware Pl., 312-896-2600, goddessandgrocer.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-The-Goddess-and-Grocer-Debbies-Egg-Salad/
47,48,Zenwich,Beef Curry,7,"416 N. York St., Elmhurst,","$7.50. 416 N. York St., Elmhurst, 630-359-5234, eatmyzenwich.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Zenwich-Beef-Curry/
48,49,Toni Patisserie,Le Végétarien,8,"65 E. Washington St.,","$8.75. 65 E. Washington St., 312-726-2020, tonipatisserie.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Toni-Patisserie-Le-Vegetarien/
49,50,Phoebe’s Bakery,The Gatsby,6,"3351 N. Broadway,","$6.85. 3351 N. Broadway, 773-868-4000, phoebesbakery.com",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Phoebes-Bakery-The-Gatsby/
